,entita,label,count,types,occurrences,plain_text,sentiment_mean,sentiment_median
375,<__main__.Entity object at 0x7f3188312dd8>,Common_Dreams,1,"['Work', 'Website']",{368},{'common dreams'},-0.3,-0.3
376,<__main__.Entity object at 0x7f31882966a0>,Elevator,2,[],"{382, 375}",{'lift'},-0.125,-0.125
377,<__main__.Entity object at 0x7f3187ca24a8>,Michigan,15,"['Region', 'PopulatedPlace', 'Place', 'Location', 'AdministrativeRegion']","{2818, 2147, 2151, 2442, 2159, 2192, 2223, 2162, 2173, 822, 632, 377, 381, 2143}","{'MI', 'Michigan'}",0.15282738095238096,0.0
378,<__main__.Entity object at 0x7f3187ba5240>,Newspaper,4,[],"{380, 421, 3190, 3135}",{'newspaper'},-0.31145833333333334,-0.3104166666666667
379,<__main__.Entity object at 0x7f3188296630>,"Charlotte,_North_Carolina",1,"['Settlement', 'PopulatedPlace', 'Place', 'Location', 'City']",{383},"{'Charlotte, North Carolina'}",0.0,0.0
380,<__main__.Entity object at 0x7f3187d992e8>,The_Fred_Allen_Show,2,"['Work', 'RadioProgram']","{2440, 387}",{'Town Hall tonight'},0.4,0.4
381,<__main__.Entity object at 0x7f318829d240>,Town_hall_meeting,1,[],{388},{'town hall event'},0.5,0.5
382,<__main__.Entity object at 0x7f318829de80>,Party_chair,1,[],{393},{'Chairman'},0.0,0.0
383,<__main__.Entity object at 0x7f3187f81128>,Reince_Priebus,3,"['Person', 'Agent', 'Politician']","{1848, 393, 687}",{'Reince Priebus'},0.33893298059964727,0.04179894179894179
384,<__main__.Entity object at 0x7f3187f1ea58>,Wisconsin,31,"['Region', 'PopulatedPlace', 'Place', 'Location', 'AdministrativeRegion']","{1793, 1795, 1796, 1797, 1798, 1802, 1804, 397, 1805, 1806, 1808, 1810, 1812, 1814, 1820, 1824, 1826, 1831, 1832, 1836, 1838, 1843, 1847, 1852, 1882, 1895, 490, 501, 632, 505}","{'Wisconsin', 'WISCONSIN', 'WI'}",0.26630952380952383,0.21367694805194803
385,<__main__.Entity object at 0x7f31882a4358>,Cold_War,1,[],{398},{'Cold War'},-0.09999999999999998,-0.09999999999999998
386,<__main__.Entity object at 0x7f31882a4550>,Communism,1,[],{398},{'communism'},-0.09999999999999998,-0.09999999999999998
387,<__main__.Entity object at 0x7f31882a4908>,Free_market,1,[],{398},{'free markets'},-0.09999999999999998,-0.09999999999999998
388,<__main__.Entity object at 0x7f3187be94e0>,Racing,15,[],"{1989, 2757, 1383, 2055, 3111, 2922, 400, 1297, 2544, 1653, 1654, 1559, 1720, 2074, 1339}",{'race'},0.04310886644219977,0.0
389,<__main__.Entity object at 0x7f31882a4e80>,Health_insurance,1,[],{401},{'health insurer'},-0.03125,-0.03125
390,<__main__.Entity object at 0x7f31882c5630>,People's_Liberation_Army_of_Namibia,1,[],{403},{'PLAN'},0.25,0.25
391,<__main__.Entity object at 0x7f31880b0f60>,India,3,"['PopulatedPlace', 'Place', 'Location', 'Country']","{1272, 403}","{'India', 'IN'}",0.125,0.125
392,<__main__.Entity object at 0x7f31882c57b8>,For_Inspiration_and_Recognition_of_Science_and_Technology,1,"['Agent', 'Organisation']",{403},{'FIRST'},0.25,0.25
393,<__main__.Entity object at 0x7f31882c5748>,Austria,1,"['PopulatedPlace', 'Place', 'Location', 'Country']",{403},{'AT'},0.25,0.25
394,<__main__.Entity object at 0x7f31882c5d30>,European_Cooperation_in_Science_and_Technology,1,[],{403},{'COST'},0.25,0.25
395,<__main__.Entity object at 0x7f31882c5cc0>,Over_(Hey!_Say!_JUMP_song),1,"['Work', 'MusicalWork', 'Song']",{403},{'OVER'},0.25,0.25
396,<__main__.Entity object at 0x7f31882a4198>,Stay_(Simply_Red_album),1,"['Work', 'MusicalWork', 'Album']",{406},{'Stay'},-0.05,-0.05
397,<__main__.Entity object at 0x7f31882a44a8>,Chant,1,[],{406},{'chant'},-0.05,-0.05
398,<__main__.Entity object at 0x7f318829d860>,Freedom_of_the_press,1,[],{408},{'freedom'},-0.5000000000000001,-0.5000000000000001
399,<__main__.Entity object at 0x7f31882a49e8>,Source_(journalism),1,[],{414},{'anonymous sources'},0.0,0.0
400,<__main__.Entity object at 0x7f3187ea4278>,Hope,4,[],"{416, 1107, 2063, 863}",{'Hope'},0.12215232683982685,0.11428571428571428
401,<__main__.Entity object at 0x7f31882be3c8>,Holy_Spirit,1,[],{416},{'Spirit'},0.5267045454545455,0.5267045454545455
402,<__main__.Entity object at 0x7f3187dc47b8>,God_Bless,3,"['Organisation', 'Group', 'Agent', 'Band']","{416, 2494, 712}",{'God bless'},0.22556818181818183,0.15
403,<__main__.Entity object at 0x7f31882b29e8>,"Admire,_Kansas",2,"['Settlement', 'PopulatedPlace', 'Place', 'Location', 'City']","{417, 438}",{'admire'},-0.16718750000000002,-0.16718750000000002
404,<__main__.Entity object at 0x7f3188086f28>,Endlessly_(album),2,"['Work', 'MusicalWork', 'Album']","{419, 1396}",{'endlessly'},0.04375000000000001,0.04375000000000001
405,<__main__.Entity object at 0x7f31882bef60>,Lake_Erie,1,"['Place', 'NaturalPlace', 'Location', 'BodyOfWater', 'Lake']",{423},{'Erie'},0.0,0.0
406,<__main__.Entity object at 0x7f3187c0d2e8>,Pretty_Little_Liars,7,"['Work', 'TelevisionShow']","{2722, 424, 3048, 3176, 2700, 2829, 3150}","{'Unbelievable', 'unbelievable'}",0.07516910173160174,0.10795454545454546
407,<__main__.Entity object at 0x7f31882b9ef0>,Compact_disc,1,[],{428},{'CD'},0.0,0.0
408,<__main__.Entity object at 0x7f31882b2208>,Most_valuable_player,1,[],{429},{'MVP'},-0.3333333333333333,-0.3333333333333333
409,<__main__.Entity object at 0x7f31882b25f8>,THEY.,1,"['Organisation', 'Group', 'Agent', 'Band']",{429},{'THEY'},-0.3333333333333333,-0.3333333333333333
410,<__main__.Entity object at 0x7f3187c59908>,Hypertext_Transfer_Protocol,2,[],"{2924, 429}",{'GET'},-0.16666666666666666,-0.16666666666666666
411,<__main__.Entity object at 0x7f3187c340b8>,Times_Higher_Education,9,"['WrittenWork', 'Work', 'PeriodicalLiterature', 'Magazine']","{1344, 1125, 1126, 3014, 1353, 1163, 879, 431, 1273}",{'THE'},0.13472222222222222,0.0
412,<__main__.Entity object at 0x7f31882b21d0>,"Fort_Lauderdale,_Florida",1,"['Settlement', 'PopulatedPlace', 'Place', 'Location', 'City']",{435},"{'Fort Lauderdale, Florida'}",0.0,0.0
413,<__main__.Entity object at 0x7f31882bef98>,New_York_City_Police_Department,1,[],{436},{'NYPD'},0.8,0.8
414,<__main__.Entity object at 0x7f31882be978>,Climbing,1,[],{436},{'climber'},0.8,0.8
415,<__main__.Entity object at 0x7f31882b2d30>,Hoax,1,[],{437},{'hoax'},-0.35,-0.35
416,<__main__.Entity object at 0x7f31882bcac8>,History_of_coal_miners,1,[],{442},{'coal miners'},1.0,1.0
